
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   57  3.578166316264832e-03  3.578166316264832e-03  2.884051365614296e-02  55    5  105
   58  3.578166316264832e-03  1.482556980313642e-02  2.907169102677414e-02  55    5   97
   59  1.482556980313642e-03  1.482556980313642e-03  2.885892187569725e-02  57   10  172
   60  1.482556980313642e-03  6.023664837594760e-03  2.894746571319544e-02  57    5   54
   61  6.023664837594760e-03  1.391285890368170e-02  2.928454446031516e-02  57    5  105
   62  1.391285890368170e-02  1.391285890368170e-02  2.994188861107023e-02  57    5  105
   63  4.818802458413245e-03  4.818802458413245e-03  2.970184381402623e-02  59   10  210
   64  4.818802458413245e-03  1.054653276273521e-02  2.940479556784465e-02  61    5  105
   65  1.054653276273521e-02  9.577997490459754e-03  2.974189847110689e-02  61    5  105
   66  9.577997490459754e-03  8.168204202802972e-03  3.000283202645842e-02  61    5  105
   67  3.273073301690680e-03  3.273073301690680e-03  3.008352960365306e-02  61   10  210
   68  3.273073301690680e-03  1.351565668820429e-02  3.016033175987388e-02  61    5   76
   69  1.351565668820429e-02  1.143451706792581e-02  3.044067848733186e-02  61    5  105
   70  1.143451706792581e-02  2.201222498837726e-02  3.063919233555911e-02  61    5  105
   71  1.744674641539314e-02  1.744674641539314e-02  3.088860002982972e-02  61   10  210
   72  7.749365753750347e-03  7.749365753750347e-03  3.098287438524989e-02  61   10  210
   73  7.749365753750347e-03  2.464483348853384e-02  3.106870017203477e-02  61    5  105
   74  3.239634909940326e-03  3.239634909940326e-03  3.110233248306132e-02  61   15  278
   75  3.239634909940326e-03  2.815353755948766e-02  3.113473929868343e-02  61    5   61
   76  5.410438574838626e-03  5.410438574838626e-03  3.118630226203300e-02  61   15  304
   77  5.410438574838626e-03  3.107560936559055e-02  3.123490313594381e-02  61    5   81
   78  1.443812569861204e-02  1.443812569861204e-02  3.135190720587725e-02  61   10  210
   79  1.443812569861204e-02  1.443812569861204e-02  3.145322580788810e-02  61    5  105
   80  1.443812569861204e-02  1.443812569861204e-02  3.154232092746956e-02  61    5  105
   81  4.741945326239130e-03  4.741945326239130e-03  3.156922787010695e-02  61   10  210
   82  4.741945326239130e-03  2.495794637878419e-02  3.159511259271986e-02  61    5   94
   83  6.171631704803853e-03  6.171631704803853e-03  3.162736794272656e-02  61   15  309
   84  6.171631704803853e-03  2.617908076620850e-02  3.165811466586878e-02  61    5   80
   85  1.238251204633703e-02  1.238251204633703e-02  3.171571148955128e-02  61   10  210
