
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            1
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 9.4000, H(p,q)-H0 = -0.0011197924613953, L(p,q)-L0 = -0.0001943707466125
t = 9.5000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 9.6000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 9.7000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001943111419678
t = 9.8000, H(p,q)-H0 = -0.0011197328567505, L(p,q)-L0 = -0.0001942515373230
t = 9.9000, H(p,q)-H0 = -0.0011196732521057, L(p,q)-L0 = -0.0001941919326782
t = 10.0000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001941919326782
t = 10.1000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001941919326782
t = 10.2000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001940727233887
t = 10.3000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001940727233887
t = 10.4000, H(p,q)-H0 = -0.0011195540428162, L(p,q)-L0 = -0.0001940131187439
t = 10.5000, H(p,q)-H0 = -0.0011195540428162, L(p,q)-L0 = -0.0001939535140991
t = 10.6000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001939535140991
t = 10.7000, H(p,q)-H0 = -0.0011194944381714, L(p,q)-L0 = -0.0001939535140991
t = 10.8000, H(p,q)-H0 = -0.0011196136474609, L(p,q)-L0 = -0.0001940727233887
t = 10.9000, H(p,q)-H0 = -0.0011194944381714, L(p,q)-L0 = -0.0001940131187439
t = 11.0000, H(p,q)-H0 = -0.0011194944381714, L(p,q)-L0 = -0.0001939535140991
t = 11.1000, H(p,q)-H0 = -0.0011194944381714, L(p,q)-L0 = -0.0001940131187439
t = 11.2000, H(p,q)-H0 = -0.0011194348335266, L(p,q)-L0 = -0.0001939535140991
t = 11.3000, H(p,q)-H0 = -0.0011193752288818, L(p,q)-L0 = -0.0001940131187439
t = 11.4000, H(p,q)-H0 = -0.0011193156242371, L(p,q)-L0 = -0.0001939535140991
t = 11.5000, H(p,q)-H0 = -0.0011191368103027, L(p,q)-L0 = -0.0001939535140991
t = 11.6000, H(p,q)-H0 = -0.0011187791824341, L(p,q)-L0 = -0.0001939535140991
t = 11.7000, H(p,q)-H0 = -0.0011183619499207, L(p,q)-L0 = -0.0001938939094543
t = 11.8000, H(p,q)-H0 = -0.0011177062988281, L(p,q)-L0 = -0.0001938939094543
t = 11.9000, H(p,q)-H0 = -0.0011168122291565, L(p,q)-L0 = -0.0001940727233887
t = 12.0000, H(p,q)-H0 = -0.0011151432991028, L(p,q)-L0 = -0.0001941919326782
t = 12.1000, H(p,q)-H0 = -0.0011131763458252, L(p,q)-L0 = -0.0001945495605469
t = 12.2000, H(p,q)-H0 = -0.0011126995086670, L(p,q)-L0 = -0.0001958012580872
t = 12.3000, H(p,q)-H0 = -0.0011181831359863, L(p,q)-L0 = -0.0001997947692871
t = 12.4000, H(p,q)-H0 = -0.0011236667633057, L(p,q)-L0 = -0.0002123117446899
t = 12.5000, H(p,q)-H0 = -0.0011532306671143, L(p,q)-L0 = -0.0002463459968567
t = 12.6000, H(p,q)-H0 = -0.0014970302581787, L(p,q)-L0 = -0.0003042817115784
t = 12.7000, H(p,q)-H0 = -0.0018436908721924, L(p,q)-L0 = -0.0003430843353271
t = 12.8000, H(p,q)-H0 = -0.0018519163131714, L(p,q)-L0 = -0.0003436803817749
t = 12.9000, H(p,q)-H0 = -0.0018565654754639, L(p,q)-L0 = -0.0003441572189331
t = 13.0000, H(p,q)-H0 = -0.0018718242645264, L(p,q)-L0 = -0.0003461241722107
t = 13.1000, H(p,q)-H0 = -0.0018779635429382, L(p,q)-L0 = -0.0003467202186584
t = 13.2000, H(p,q)-H0 = -0.0018809437751770, L(p,q)-L0 = -0.0003470182418823
t = 13.3000, H(p,q)-H0 = -0.0018824934959412, L(p,q)-L0 = -0.0003471374511719
t = 13.4000, H(p,q)-H0 = -0.0018832087516785, L(p,q)-L0 = -0.0003471374511719
t = 13.5000, H(p,q)-H0 = -0.0018837451934814, L(p,q)-L0 = -0.0003471374511719
t = 13.6000, H(p,q)-H0 = -0.0018839836120605, L(p,q)-L0 = -0.0003471374511719
t = 13.7000, H(p,q)-H0 = -0.0018841028213501, L(p,q)-L0 = -0.0003471374511719
t = 13.8000, H(p,q)-H0 = -0.0018841624259949, L(p,q)-L0 = -0.0003471374511719
t = 13.9000, H(p,q)-H0 = -0.0018844604492188, L(p,q)-L0 = -0.0003471374511719
t = 14.0000, H(p,q)-H0 = -0.0018844604492188, L(p,q)-L0 = -0.0003471970558167
t = 14.1000, H(p,q)-H0 = -0.0018844604492188, L(p,q)-L0 = -0.0003471374511719
t = 14.2000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 14.3000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 14.4000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 14.5000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003473162651062
t = 14.6000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003473162651062
t = 14.7000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003473758697510
t = 14.8000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003473758697510
t = 14.9000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003473758697510
t = 15.0000, H(p,q)-H0 = -0.0018846988677979, L(p,q)-L0 = -0.0003474354743958
t = 15.1000, H(p,q)-H0 = -0.0018847584724426, L(p,q)-L0 = -0.0003474950790405
t = 15.2000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003474354743958
t = 15.3000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003473758697510
t = 15.4000, H(p,q)-H0 = -0.0018846392631531, L(p,q)-L0 = -0.0003472566604614
t = 15.5000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003472566604614
t = 15.6000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003471374511719
t = 15.7000, H(p,q)-H0 = -0.0018845796585083, L(p,q)-L0 = -0.0003470778465271
