
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   60  4.375834763050079e-02  5.885906144976616e-02  3.234948570998460e-02  61    5  105
   61  5.885906144976616e-02  5.297351256012917e-02  3.239447925648092e-02  61    5  105
   62  5.297351256012917e-02  4.921405762434006e-02  3.242640233889734e-02  61    5  105
   63  4.921405762434006e-02  4.439195990562439e-02  3.245096216068011e-02  61    5  105
   64  4.439195990562439e-02  4.241639003157616e-02  3.246744756224990e-02  61    5  105
   65  4.241639003157616e-02  4.609060660004616e-02  3.248013990273600e-02  61    5  105
   66  4.609060660004616e-02  4.462517797946930e-02  3.249433919203131e-02  61    5  105
   67  4.462517797946930e-02  4.534737020730972e-02  3.250382641300097e-02  61    5  105
   68  4.534737020730972e-02  4.534737020730972e-02  3.251349884363429e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 68
   Total nonlinear iterations = 425
   Total linear iterations    = 8131

