
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   49  4.154116846621037e-03  3.981347661465406e-03  2.841185908824555e-02  52   10  210
   50  3.981347661465406e-03  3.981347661465406e-03  2.893157044129668e-02  54    5  105
   51  3.981347661465406e-03  1.074243057519197e-02  2.920220397278283e-02  54    5  103
   52  1.074243057519197e-02  1.744111441075802e-02  2.984495979529505e-02  54    5  105
   53  4.360278602689505e-03  4.360278602689505e-03  2.968847401018748e-02  57    9  189
   54  4.360278602689505e-03  7.430628873407841e-03  2.946626154443096e-02  59    5  105
   55  7.430628873407841e-03  7.430628873407841e-03  2.931337487980600e-02  61    5  105
   56  7.430628873407841e-03  1.473743468523026e-02  2.959191453568031e-02  61    5  105
   57  1.473743468523026e-02  1.291865296661854e-02  3.005390302750087e-02  61    5  105
   58  3.429289208725095e-03  3.004097146913409e-03  3.014686296001011e-02  61   10  210
   59  3.004097146913409e-03  3.004097146913409e-03  3.022429684861026e-02  61    5  105
   60  3.004097146913409e-03  7.477784063667059e-03  3.029823729479324e-02  61    5  104
   61  7.477784063667059e-03  1.161951385438442e-02  3.046844341661801e-02  61    5  105
   62  1.161951385438442e-02  1.161951385438442e-02  3.069853917362460e-02  61    5  105
   63  1.161951385438442e-02  1.049621403217316e-02  3.089368326218560e-02  61    5  105
   64  1.049621403217316e-02  9.239708073437214e-03  3.104514257977162e-02  61    5  105
   65  6.628947332501411e-03  6.628947332501411e-03  3.113087565375382e-02  61   10  210
   66  6.628947332501411e-03  6.628947332501411e-03  3.120984723964349e-02  61    5  105
   67  6.628947332501411e-03  6.628947332501411e-03  3.128284724794587e-02  61    5  105
   68  6.628947332501411e-03  1.286978647112846e-02  3.135025809830493e-02  61    5  105
   69  3.217446617782116e-03  3.217446617782116e-03  3.138118270163280e-02  61   10  194
   70  3.217446617782116e-03  1.072045229375362e-02  3.141099466951397e-02  61    5   84
   71  1.072045229375362e-02  2.254355885088444e-02  3.150317151311981e-02  61    5  105
   72  1.290396042168140e-02  1.290396042168140e-02  3.160155446331832e-02  61   10  210
   73  1.052341889590025e-02  1.011686492711306e-02  3.167320328567953e-02  61   10  210
   74  6.935268174856901e-03  6.935268174856901e-03  3.171692276257885e-02  61   10  210
   75  6.935268174856901e-03  1.189653296023607e-02  3.175790070302147e-02  61    5  105
   76  5.324273835867643e-03  5.324273835867643e-03  3.178774573748278e-02  61   10  210
   77  5.324273835867643e-03  1.186879165470600e-02  3.181620897813856e-02  61    5  105
   78  1.186879165470600e-02  1.186879165470600e-02  3.187586600281934e-02  61    5  105
   79  1.186879165470600e-02  1.077988184988499e-02  3.193035510319382e-02  61    5  105
   80  1.077988184988499e-02  1.049431506544352e-02  3.197623331313848e-02  61    5  105
   81  2.212545135989785e-03  2.151959575712681e-03  3.198509168765346e-02  61   15  313
   82  2.151959575712681e-03  4.511418752372265e-03  3.199372383068819e-02  61    5   81
   83  4.511418752372265e-03  1.269195787608624e-02  3.201129207245268e-02  61    5  102
   84  1.269195787608624e-02  1.269195787608624e-02  3.205832908284532e-02  61    5  105
   85  9.223945438861847e-03  8.679961785674095e-03  3.209005691262492e-02  61   10  210
   86  8.679961785674095e-03  8.679961785674095e-03  3.211835192172751e-02  61    5  105
   87  5.895713809877634e-03  5.895713809877634e-03  3.213684460798578e-02  61   10  210
   88  5.895713809877634e-03  1.225875597447157e-02  3.215464782581248e-02  61    5  105
   89  1.225875597447157e-02  1.120652537792921e-02  3.218979978331339e-02  61    5  105
   90  1.120652537792921e-02  1.021835207939148e-02  3.221969820379241e-02  61    5  105
   91  1.021835207939148e-02  1.021835207939148e-02  3.224564659148263e-02  61    5  105
   92  1.021835207939148e-02  1.021835207939148e-02  3.227039448537392e-02  61    5  105
   93  1.021835207939148e-02  9.529437869787216e-03  3.229389597967925e-02  61    5  105
   94  7.629223167896271e-03  7.629223167896271e-03  3.231035523011022e-02  61   10  210
   95  2.487131627276540e-03  2.487131627276540e-03  3.231564765421604e-02  61   10  210
   96  2.487131627276540e-03  6.031818687915802e-03  3.232086897546869e-02  61    5   76
   97  6.031818687915802e-03  6.031818687915802e-03  3.233310758760859e-02  61    5  105
   98  1.191897434182465e-03  1.191897434182465e-03  3.233550543103580e-02  61   15  285
   99  1.191897434182465e-03  2.345134736970067e-03  3.233786529700841e-02  61    5   67
  100  2.345134736970067e-03  7.930736057460308e-03  3.234253591986259e-02  61    5   78
  101  7.930736057460308e-03  7.298566401004791e-03  3.235777060085430e-02  61    5  105
  102  7.298566401004791e-03  6.281232926994562e-03  3.237128094708448e-02  61    5  105
  103  6.281232926994562e-03  5.285862367600203e-03  3.238259637815741e-02  61    5  105
  104  7.972486782819033e-04  6.850585341453552e-04  3.238400019387661e-02  61   15  256
  105  6.850585341453552e-04  6.850585341453552e-04  3.238520803782597e-02  61    5   54
  106  4.275630926713347e-04  4.275630926713347e-04  3.238597190397479e-02  61   10  135
  107  4.275630926713347e-04  7.393136038444936e-04  3.238671957668644e-02  61    5   46
  108  7.393136038444936e-04  2.275950973853469e-03  3.238801538201996e-02  61    5   50
  109  2.275950973853469e-03  6.315939594060183e-03  3.239195280244901e-02  61    5   95
  110  6.315939594060183e-03  6.133095826953650e-03  3.240256761550599e-02  61    5  105
  111  6.133095826953650e-03  1.428866386413574e-02  3.241244086923292e-02  61    5  105
  112  1.428866386413574e-02  1.428866386413574e-02  3.243483986505799e-02  61    5  105
  113  1.428866386413574e-02  1.284250989556313e-02  3.245596981654427e-02  61    5  105
  114  1.284250989556313e-02  1.284250989556313e-02  3.247343317185646e-02  61    5  105
  115  9.186311624944210e-03  9.186311624944210e-03  3.248520039910702e-02  61   10  210
  116  9.186311624944210e-03  9.186311624944210e-03  3.249645645970006e-02  61    5  105
  117  9.186311624944210e-03  9.186311624944210e-03  3.250724664980393e-02  61    5  105
  118  9.186311624944210e-03  9.186311624944210e-03  3.251798313912142e-02  61    5  105
  119  9.186311624944210e-03  1.685341447591782e-02  3.252805578062462e-02  61    5  105
  120  7.660101633518934e-03  7.364563178271055e-03  3.253590340637493e-02  61   10  210
  121  7.364563178271055e-03  7.364563178271055e-03  3.254299792021819e-02  61    5  105
  122  7.364563178271055e-03  1.123754773288965e-02  3.255012844096701e-02  61    5  105
  123  1.123754773288965e-02  1.123754773288965e-02  3.256050040778501e-02  61    5  105
  124  1.123754773288965e-02  9.999370202422142e-03  3.256993082650509e-02  61    5  105
  125  9.999370202422142e-03  9.999370202422142e-03  3.257842766154643e-02  61    5  105
  126  9.999370202422142e-03  9.999370202422142e-03  3.258640605721798e-02  61    5  105
  127  9.999370202422142e-03  9.999370202422142e-03  3.259377710175782e-02  61    5  105
  128  9.999370202422142e-03  1.506979111582041e-02  3.260099828717735e-02  61    5  105
  129  7.481794804334641e-03  7.481794804334641e-03  3.260607930013144e-02  61   10  210
  130  7.481794804334641e-03  1.464236434549093e-02  3.261093997798583e-02  61    5  105
  131  1.464236434549093e-02  1.464236434549093e-02  3.262012562681569e-02  61    5  105
  132  1.464236434549093e-02  1.369864586740732e-02  3.262858441535611e-02  61    5  105
  133  1.369864586740732e-02  1.174108590930700e-02  3.263582465238644e-02  61    5  105
  134  1.174108590930700e-02  1.174108590930700e-02  3.264205043544006e-02  61    5  105
  135  1.174108590930700e-02  1.174108590930700e-02  3.264797372470337e-02  61    5  105
  136  1.174108590930700e-02  1.174108590930700e-02  3.265360716285255e-02  61    5  105
  137  1.174108590930700e-02  1.174108590930700e-02  3.265818272465608e-02  61    5  105
  138  1.174108590930700e-02  1.174108590930700e-02  3.266295189168048e-02  61    5  105
  139  1.174108590930700e-02  1.174108590930700e-02  3.266738716234068e-02  61    5  105
  140  1.174108590930700e-02  1.953624002635479e-02  3.267150114384644e-02  61    5  105
  141  1.953624002635479e-02  1.729436777532101e-02  3.267801225585235e-02  61    5  105
  142  1.199309621006250e-02  1.072078756988049e-02  3.268211955681224e-02  61   10  210
  143  1.072078756988049e-02  1.072078756988049e-02  3.268534127163054e-02  61    5  105
  144  1.072078756988049e-02  1.072078756988049e-02  3.268814420794656e-02  61    5  105
  145  1.072078756988049e-02  1.636657863855362e-02  3.269099141750081e-02  61    5  105
  146  1.227830164134502e-02  1.227830164134502e-02  3.269412323966197e-02  61   10  210
  147  1.227830164134502e-02  1.066738180816174e-02  3.269705359860323e-02  61    5  105
  148  1.066738180816174e-02  2.087006531655788e-02  3.269936423109268e-02  61    5  105
  149  1.603180170059204e-02  1.603180170059204e-02  3.270279605566083e-02  61   10  210
  150  1.603180170059204e-02  2.475429326295853e-02  3.270614031413457e-02  61    5  105
  151  2.475429326295853e-02  2.316575124859810e-02  3.270986860791535e-02  61    5  105
  152  1.924827881157398e-02  3.917453810572624e-03  3.271299150546908e-02  61   10  210
  153  3.917453810572624e-03  3.917453810572624e-03  3.271361960782538e-02  61    5  101
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 153
   Total nonlinear iterations = 964
   Total linear iterations    = 17077

