
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
   82  9.114719867377860e-03  1.630315171409406e-02  3.128712381989451e-02  61    5  105
   83  3.095811571914599e-03  3.095811571914599e-03  3.131201922720347e-02  61   15  315
   84  3.095811571914599e-03  1.026954719633205e-02  3.133614806430769e-02  61    5   73
   85  1.026954719633205e-02  1.026954719633205e-02  3.141125872578786e-02  61    5  105
   86  4.821013425368261e-03  4.821013425368261e-03  3.144394667511345e-02  61   10  210
   87  4.821013425368261e-03  9.879555554569503e-03  3.147528226233688e-02  61    5  104
   88  9.879555554569503e-03  9.879555554569503e-03  3.153550350221002e-02  61    5  105
   89  9.879555554569503e-03  9.879555554569503e-03  3.159091006427420e-02  61    5  105
   90  9.879555554569503e-03  1.791586466080307e-02  3.164209305869844e-02  61    5  105
   91  1.791586466080307e-02  1.507508871695493e-02  3.172573001216570e-02  61    5  105
   92  9.107366506639341e-03  8.227347335808212e-03  3.176430808273541e-02  61   10  210
   93  8.227347335808212e-03  1.302546072138355e-02  3.179719862972879e-02  61    5  105
   94  2.833083513368481e-03  2.833083513368481e-03  3.180810577100769e-02  61   15  315
   95  2.833083513368481e-03  9.628427679810907e-03  3.181882331041383e-02  61    5   78
   96  9.628427679810907e-03  2.705898712557101e-02  3.185384503055549e-02  61    5  105
   97  1.168770838381887e-02  1.168770838381887e-02  3.189365541473917e-02  61   10  210
   98  1.168770838381887e-02  1.168770838381887e-02  3.193078656166717e-02  61    5  105
   99  9.516482972247260e-03  9.516482972247260e-03  3.195928531421091e-02  61   10  210
  100  4.001550532876133e-03  3.797142084868080e-03  3.197083648275003e-02  61   10  210
  101  3.797142084868080e-03  3.467542051952832e-03  3.198144321209642e-02  61    5  105
  102  3.467542051952832e-03  3.467542051952832e-03  3.199092563379938e-02  61    5  105
  103  8.550280628086040e-04  8.106732240002242e-04  3.199331866671193e-02  61   15  260
  104  8.106732240002242e-04  1.432628993909015e-03  3.199552667705580e-02  61    5   46
  105  1.432628993909015e-03  4.124240913865576e-03  3.199939283328604e-02  61    5   55
  106  4.124240913865576e-03  1.915179334895294e-02  3.201034947159417e-02  61    5   85
  107  1.915179334895294e-02  1.915179334895294e-02  3.205811299793357e-02  61    5  105
  108  2.277331378720540e-03  1.946078250748905e-03  3.206349460741940e-02  61   15  314
  109  1.946078250748905e-03  3.154942472605389e-03  3.206803508020575e-02  61    5   84
  110  3.154942472605389e-03  8.537000009510222e-03  3.207529917762959e-02  61    5   84
  111  8.537000009510222e-03  8.537000009510222e-03  3.209437191628555e-02  61    5  105
  112  8.537000009510222e-03  1.474674224612252e-02  3.211262765851659e-02  61    5  105
  113  3.337143954300697e-03  3.337143954300697e-03  3.211954955580949e-02  61   10  210
  114  3.337143954300697e-03  1.173015072516483e-02  3.212635556014443e-02  61    5   72
  115  5.616203558426831e-03  5.616203558426831e-03  3.213755397624742e-02  61   10  209
  116  5.616203558426831e-03  1.158999414457308e-02  3.214843969739647e-02  61    5  105
  117  1.158999414457308e-02  2.503643119507428e-02  3.216995903095062e-02  61    5  105
  118  2.503643119507428e-03  2.503643119507428e-03  3.217444704405073e-02  61   10  210
  119  2.503643119507428e-03  8.231496576490782e-03  3.217887920964892e-02  61    5   80
  120  8.231496576490782e-03  2.979346800195647e-02  3.219306936986719e-02  61    5   77
  121  5.929261988102531e-03  5.929261988102531e-03  3.220293889774181e-02  61   10  210
  122  5.929261988102531e-03  1.899053474673340e-02  3.221252417994076e-02  61    5   89
  123  5.749453514928940e-03  5.749453514928940e-03  3.222155571486703e-02  61   10  198
  124  5.749453514928940e-03  2.824653768443519e-02  3.223033597130784e-02  61    5   97
  125  7.061634421108798e-03  7.061634421108798e-03  3.224078715043194e-02  61   10  209
  126  7.061634421108798e-03  2.394706878524175e-02  3.225088387411455e-02  61    5   96
  127  1.215233584387062e-02  1.215233584387062e-02  3.226746676489928e-02  61   10  210
  128  1.676261561704714e-03  1.676261561704714e-03  3.226967650914160e-02  61   15  298
  129  1.676261561704714e-03  7.532391822040902e-03  3.227186940214703e-02  61    5   50
  130  7.532391822040902e-03  3.538109596891474e-02  3.228150665741438e-02  61    5   76
  131  3.538109596891474e-02  3.210627096227825e-02  3.232240126062595e-02  61    5  105
  132  4.509759991131446e-03  4.172238309616685e-03  3.232707943640536e-02  61   10  210
  133  4.172238309616685e-03  3.792146287777993e-03  3.233135220488781e-02  61    5  105
  134  3.792146287777993e-03  7.354622324292907e-03  3.233516558322864e-02  61    5  105
  135  7.354622324292907e-03  1.981703516605575e-02  3.234236058677867e-02  61    5  105
  136  1.981703516605575e-02  3.682584576417117e-02  3.236052179566097e-02  61    5  105
  137  4.828976157772032e-03  4.828976157772032e-03  3.236468806757382e-02  61   11  231
